"BehaviorSpace results (NetLogo 6.2.0)"
"Simple Birth Rates.nlogo"
"Blue_fertility_effect_on_red_extinction"
"05/01/2021 07:42:01:488 -0500"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-50","50","-50","50"
"[run number]","carrying-capacity","red-fertility","blue-fertility","[step]","ticks"
"173","1000","2","2.2","147","147"
"179","1000","2","2.2","133","133"
"182","1000","2","2.2","96","96"
"185","1000","2","2.2","91","91"
"184","1000","2","2.2","110","110"
"181","1000","2","2.2","120","120"
"183","1000","2","2.2","117","117"
"186","1000","2","2.2","86","86"
"187","1000","2","2.2","89","89"
"188","1000","2","2.2","82","82"
"190","1000","2","2.2","63","63"
"189","1000","2","2.2","65","65"
"194","1000","2","2.2","74","74"
"193","1000","2","2.2","77","77"
"192","1000","2","2.2","81","81"
"191","1000","2","2.2","114","114"
"197","1000","2","2.2","79","79"
"198","1000","2","2.2","84","84"
"196","1000","2","2.2","107","107"
"195","1000","2","2.2","95","95"
"200","1000","2","2.2","71","71"
"201","1000","2","2.3","69","69"
"199","1000","2","2.2","87","87"
"202","1000","2","2.3","63","63"
"203","1000","2","2.3","55","55"
"204","1000","2","2.3","62","62"
"206","1000","2","2.3","47","47"
"205","1000","2","2.3","56","56"
"207","1000","2","2.3","54","54"
"208","1000","2","2.3","58","58"
"210","1000","2","2.3","44","44"
"211","1000","2","2.3","52","52"
"212","1000","2","2.3","49","49"
"209","1000","2","2.3","76","76"
"214","1000","2","2.3","62","62"
"213","1000","2","2.3","69","69"
"218","1000","2","2.3","45","45"
"217","1000","2","2.3","56","56"
"216","1000","2","2.3","65","65"
"215","1000","2","2.3","68","68"
"219","1000","2","2.3","57","57"
"222","1000","2","2.3","41","41"
"220","1000","2","2.3","70","70"
"224","1000","2","2.3","42","42"
"223","1000","2","2.3","49","49"
"221","1000","2","2.3","72","72"
"225","1000","2","2.3","52","52"
"227","1000","2","2.3","51","51"
"226","1000","2","2.3","65","65"
"232","1000","2","2.3","47","47"
"231","1000","2","2.3","53","53"
"229","1000","2","2.3","72","72"
"228","1000","2","2.3","72","72"
"233","1000","2","2.3","57","57"
"235","1000","2","2.3","54","54"
"230","1000","2","2.3","82","82"
"234","1000","2","2.3","86","86"
"237","1000","2","2.3","59","59"
"238","1000","2","2.3","62","62"
"236","1000","2","2.3","88","88"
"240","1000","2","2.3","70","70"
"241","1000","2","2.3","61","61"
"244","1000","2","2.3","55","55"
"242","1000","2","2.3","88","88"
"243","1000","2","2.3","71","71"
"245","1000","2","2.3","65","65"
"247","1000","2","2.3","56","56"
"248","1000","2","2.3","64","64"
"239","1000","2","2.3","129","129"
"246","1000","2","2.3","71","71"
"250","1000","2","2.3","56","56"
"249","1000","2","2.3","77","77"
"251","1000","2","2.3","71","71"
"252","1000","2","2.3","67","67"
"253","1000","2","2.3","71","71"
"254","1000","2","2.3","63","63"
"257","1000","2","2.3","60","60"
"255","1000","2","2.3","72","72"
"258","1000","2","2.3","50","50"
"256","1000","2","2.3","89","89"
"259","1000","2","2.3","62","62"
"260","1000","2","2.3","67","67"
"262","1000","2","2.3","58","58"
"261","1000","2","2.3","92","92"
"264","1000","2","2.3","70","70"
"265","1000","2","2.3","74","74"
"267","1000","2","2.3","55","55"
"268","1000","2","2.3","70","70"
"269","1000","2","2.3","71","71"
"263","1000","2","2.3","112","112"
"266","1000","2","2.3","104","104"
"271","1000","2","2.3","55","55"
"273","1000","2","2.3","57","57"
"272","1000","2","2.3","68","68"
"270","1000","2","2.3","94","94"
"274","1000","2","2.3","69","69"
"277","1000","2","2.3","64","64"
"276","1000","2","2.3","71","71"
"275","1000","2","2.3","77","77"
"279","1000","2","2.3","57","57"
"280","1000","2","2.3","56","56"
"278","1000","2","2.3","72","72"
"281","1000","2","2.3","43","43"
"284","1000","2","2.3","50","50"
"285","1000","2","2.3","58","58"
"286","1000","2","2.3","53","53"
"282","1000","2","2.3","81","81"
"287","1000","2","2.3","53","53"
"289","1000","2","2.3","53","53"
"288","1000","2","2.3","57","57"
"283","1000","2","2.3","94","94"
"290","1000","2","2.3","60","60"
"291","1000","2","2.3","64","64"
"293","1000","2","2.3","63","63"
"294","1000","2","2.3","62","62"
"297","1000","2","2.3","50","50"
"292","1000","2","2.3","82","82"
"295","1000","2","2.3","77","77"
"296","1000","2","2.3","72","72"
"298","1000","2","2.3","58","58"
"299","1000","2","2.3","48","48"
"300","1000","2","2.3","52","52"
"301","1000","2","2.4","57","57"
"302","1000","2","2.4","58","58"
"303","1000","2","2.4","52","52"
"307","1000","2","2.4","42","42"
"305","1000","2","2.4","51","51"
"306","1000","2","2.4","45","45"
"304","1000","2","2.4","72","72"
"308","1000","2","2.4","45","45"
"310","1000","2","2.4","45","45"
"311","1000","2","2.4","56","56"
"314","1000","2","2.4","45","45"
"313","1000","2","2.4","47","47"
"312","1000","2","2.4","55","55"
"309","1000","2","2.4","74","74"
"315","1000","2","2.4","47","47"
"316","1000","2","2.4","45","45"
"317","1000","2","2.4","55","55"
"318","1000","2","2.4","46","46"
"324","1000","2","2.4","37","37"
"319","1000","2","2.4","54","54"
"320","1000","2","2.4","49","49"
"323","1000","2","2.4","44","44"
"321","1000","2","2.4","53","53"
"322","1000","2","2.4","68","68"
"326","1000","2","2.4","44","44"
"330","1000","2","2.4","38","38"
"329","1000","2","2.4","41","41"
"327","1000","2","2.4","52","52"
"325","1000","2","2.4","64","64"
"331","1000","2","2.4","52","52"
"328","1000","2","2.4","60","60"
"333","1000","2","2.4","37","37"
"332","1000","2","2.4","59","59"
"335","1000","2","2.4","45","45"
"336","1000","2","2.4","41","41"
"334","1000","2","2.4","51","51"
"337","1000","2","2.4","43","43"
"339","1000","2","2.4","44","44"
"338","1000","2","2.4","45","45"
"342","1000","2","2.4","38","38"
"340","1000","2","2.4","60","60"
"344","1000","2","2.4","40","40"
"341","1000","2","2.4","59","59"
"347","1000","2","2.4","42","42"
"345","1000","2","2.4","53","53"
"343","1000","2","2.4","58","58"
"346","1000","2","2.4","56","56"
"349","1000","2","2.4","40","40"
"348","1000","2","2.4","47","47"
"350","1000","2","2.4","60","60"
"354","1000","2","2.4","44","44"
"351","1000","2","2.4","59","59"
"355","1000","2","2.4","45","45"
"356","1000","2","2.4","43","43"
"353","1000","2","2.4","69","69"
"357","1000","2","2.4","41","41"
"352","1000","2","2.4","85","85"
"359","1000","2","2.4","45","45"
"360","1000","2","2.4","53","53"
"361","1000","2","2.4","52","52"
"363","1000","2","2.4","40","40"
"362","1000","2","2.4","42","42"
"358","1000","2","2.4","69","69"
"366","1000","2","2.4","28","28"
"365","1000","2","2.4","53","53"
"364","1000","2","2.4","55","55"
"367","1000","2","2.4","38","38"
"368","1000","2","2.4","46","46"
"369","1000","2","2.4","49","49"
"371","1000","2","2.4","48","48"
"370","1000","2","2.4","55","55"
"372","1000","2","2.4","50","50"
"373","1000","2","2.4","40","40"
"374","1000","2","2.4","38","38"
"375","1000","2","2.4","50","50"
"376","1000","2","2.4","41","41"
"377","1000","2","2.4","43","43"
"378","1000","2","2.4","44","44"
"380","1000","2","2.4","48","48"
"379","1000","2","2.4","51","51"
"381","1000","2","2.4","44","44"
"384","1000","2","2.4","37","37"
"383","1000","2","2.4","50","50"
"382","1000","2","2.4","63","63"
"385","1000","2","2.4","52","52"
"386","1000","2","2.4","57","57"
"389","1000","2","2.4","41","41"
"388","1000","2","2.4","49","49"
"391","1000","2","2.4","43","43"
"387","1000","2","2.4","72","72"
"393","1000","2","2.4","39","39"
"390","1000","2","2.4","64","64"
"392","1000","2","2.4","48","48"
"394","1000","2","2.4","48","48"
"395","1000","2","2.4","53","53"
"396","1000","2","2.4","61","61"
"399","1000","2","2.4","38","38"
"397","1000","2","2.4","51","51"
"398","1000","2","2.4","49","49"
"400","1000","2","2.4","48","48"
"402","1000","2","2.5","35","35"
"401","1000","2","2.5","44","44"
"403","1000","2","2.5","36","36"
"404","1000","2","2.5","32","32"
"405","1000","2","2.5","40","40"
"406","1000","2","2.5","40","40"
"407","1000","2","2.5","41","41"
"411","1000","2","2.5","31","31"
"410","1000","2","2.5","37","37"
"412","1000","2","2.5","36","36"
"409","1000","2","2.5","57","57"
"408","1000","2","2.5","61","61"
"413","1000","2","2.5","32","32"
"416","1000","2","2.5","31","31"
"415","1000","2","2.5","39","39"
"418","1000","2","2.5","29","29"
"414","1000","2","2.5","51","51"
"417","1000","2","2.5","40","40"
"419","1000","2","2.5","42","42"
"423","1000","2","2.5","34","34"
"421","1000","2","2.5","46","46"
"420","1000","2","2.5","57","57"
"424","1000","2","2.5","39","39"
"426","1000","2","2.5","44","44"
"422","1000","2","2.5","64","64"
"425","1000","2","2.5","54","54"
"427","1000","2","2.5","45","45"
"429","1000","2","2.5","43","43"
"430","1000","2","2.5","34","34"
"428","1000","2","2.5","45","45"
"431","1000","2","2.5","47","47"
"432","1000","2","2.5","40","40"
"435","1000","2","2.5","41","41"
"434","1000","2","2.5","54","54"
"433","1000","2","2.5","56","56"
"436","1000","2","2.5","39","39"
"438","1000","2","2.5","44","44"
"437","1000","2","2.5","49","49"
"440","1000","2","2.5","38","38"
"439","1000","2","2.5","53","53"
"441","1000","2","2.5","32","32"
"442","1000","2","2.5","35","35"
"443","1000","2","2.5","41","41"
"445","1000","2","2.5","36","36"
"447","1000","2","2.5","26","26"
"444","1000","2","2.5","50","50"
"446","1000","2","2.5","41","41"
"448","1000","2","2.5","39","39"
"450","1000","2","2.5","36","36"
"451","1000","2","2.5","35","35"
"449","1000","2","2.5","56","56"
"455","1000","2","2.5","36","36"
"454","1000","2","2.5","40","40"
"452","1000","2","2.5","49","49"
"453","1000","2","2.5","43","43"
"456","1000","2","2.5","46","46"
"457","1000","2","2.5","35","35"
"458","1000","2","2.5","44","44"
"463","1000","2","2.5","30","30"
"460","1000","2","2.5","41","41"
"461","1000","2","2.5","44","44"
"459","1000","2","2.5","58","58"
"465","1000","2","2.5","30","30"
"466","1000","2","2.5","37","37"
"464","1000","2","2.5","48","48"
"462","1000","2","2.5","69","69"
"468","1000","2","2.5","38","38"
"469","1000","2","2.5","34","34"
"471","1000","2","2.5","31","31"
"467","1000","2","2.5","49","49"
"470","1000","2","2.5","48","48"
"473","1000","2","2.5","41","41"
"475","1000","2","2.5","38","38"
"472","1000","2","2.5","51","51"
"474","1000","2","2.5","46","46"
"477","1000","2","2.5","39","39"
"478","1000","2","2.5","34","34"
"476","1000","2","2.5","49","49"
"480","1000","2","2.5","38","38"
"484","1000","2","2.5","31","31"
"482","1000","2","2.5","38","38"
"481","1000","2","2.5","43","43"
"483","1000","2","2.5","42","42"
"485","1000","2","2.5","34","34"
"479","1000","2","2.5","62","62"
"486","1000","2","2.5","30","30"
"487","1000","2","2.5","32","32"
"490","1000","2","2.5","32","32"
"491","1000","2","2.5","31","31"
"489","1000","2","2.5","44","44"
"493","1000","2","2.5","39","39"
"488","1000","2","2.5","48","48"
"494","1000","2","2.5","60","60"
"492","1000","2","2.5","59","59"
"496","1000","2","2.5","38","38"
"497","1000","2","2.5","39","39"
"495","1000","2","2.5","50","50"
"498","1000","2","2.5","35","35"
"500","1000","2","2.5","33","33"
"499","1000","2","2.5","43","43"
"501","1000","2","2.6","34","34"
"503","1000","2","2.6","32","32"
"507","1000","2","2.6","25","25"
"502","1000","2","2.6","42","42"
"506","1000","2","2.6","36","36"
"504","1000","2","2.6","42","42"
"505","1000","2","2.6","47","47"
"508","1000","2","2.6","37","37"
"511","1000","2","2.6","24","24"
"509","1000","2","2.6","36","36"
"510","1000","2","2.6","38","38"
"514","1000","2","2.6","31","31"
"513","1000","2","2.6","38","38"
"512","1000","2","2.6","40","40"
"516","1000","2","2.6","37","37"
"515","1000","2","2.6","38","38"
"517","1000","2","2.6","40","40"
"519","1000","2","2.6","32","32"
"518","1000","2","2.6","38","38"
"520","1000","2","2.6","40","40"
"522","1000","2","2.6","34","34"
"521","1000","2","2.6","39","39"
"524","1000","2","2.6","35","35"
"523","1000","2","2.6","40","40"
"526","1000","2","2.6","31","31"
"527","1000","2","2.6","34","34"
"530","1000","2","2.6","28","28"
"525","1000","2","2.6","59","59"
"529","1000","2","2.6","37","37"
"528","1000","2","2.6","41","41"
"532","1000","2","2.6","33","33"
"533","1000","2","2.6","27","27"
"531","1000","2","2.6","37","37"
"534","1000","2","2.6","30","30"
"535","1000","2","2.6","31","31"
"536","1000","2","2.6","33","33"
"538","1000","2","2.6","35","35"
"541","1000","2","2.6","32","32"
"540","1000","2","2.6","35","35"
"539","1000","2","2.6","39","39"
"542","1000","2","2.6","33","33"
"537","1000","2","2.6","45","45"
"544","1000","2","2.6","27","27"
"543","1000","2","2.6","44","44"
"545","1000","2","2.6","33","33"
"546","1000","2","2.6","33","33"
"547","1000","2","2.6","37","37"
"548","1000","2","2.6","50","50"
"552","1000","2","2.6","31","31"
"554","1000","2","2.6","28","28"
"551","1000","2","2.6","43","43"
"550","1000","2","2.6","52","52"
"553","1000","2","2.6","36","36"
"549","1000","2","2.6","65","65"
"555","1000","2","2.6","38","38"
"558","1000","2","2.6","31","31"
"556","1000","2","2.6","37","37"
"560","1000","2","2.6","29","29"
"561","1000","2","2.6","30","30"
"559","1000","2","2.6","36","36"
"557","1000","2","2.6","46","46"
"562","1000","2","2.6","31","31"
"563","1000","2","2.6","31","31"
"565","1000","2","2.6","30","30"
"567","1000","2","2.6","31","31"
"570","1000","2","2.6","29","29"
"566","1000","2","2.6","36","36"
"568","1000","2","2.6","37","37"
"564","1000","2","2.6","46","46"
"569","1000","2","2.6","44","44"
"571","1000","2","2.6","39","39"
"573","1000","2","2.6","29","29"
"572","1000","2","2.6","35","35"
"574","1000","2","2.6","33","33"
"576","1000","2","2.6","33","33"
"578","1000","2","2.6","28","28"
"577","1000","2","2.6","34","34"
"581","1000","2","2.6","32","32"
"582","1000","2","2.6","24","24"
"575","1000","2","2.6","53","53"
"580","1000","2","2.6","44","44"
"579","1000","2","2.6","50","50"
"583","1000","2","2.6","37","37"
"585","1000","2","2.6","33","33"
"584","1000","2","2.6","38","38"
"587","1000","2","2.6","34","34"
"586","1000","2","2.6","37","37"
"589","1000","2","2.6","32","32"
"588","1000","2","2.6","31","31"
"590","1000","2","2.6","33","33"
"592","1000","2","2.6","31","31"
"591","1000","2","2.6","42","42"
"593","1000","2","2.6","41","41"
"594","1000","2","2.6","32","32"
"598","1000","2","2.6","27","27"
"595","1000","2","2.6","33","33"
"597","1000","2","2.6","33","33"
"599","1000","2","2.6","33","33"
"596","1000","2","2.6","45","45"
"600","1000","2","2.6","37","37"
"601","1000","2","2.7","34","34"
"602","1000","2","2.7","28","28"
"604","1000","2","2.7","32","32"
"603","1000","2","2.7","37","37"
"605","1000","2","2.7","27","27"
"606","1000","2","2.7","28","28"
"608","1000","2","2.7","24","24"
"607","1000","2","2.7","34","34"
"609","1000","2","2.7","32","32"
"611","1000","2","2.7","31","31"
"610","1000","2","2.7","40","40"
"613","1000","2","2.7","34","34"
"612","1000","2","2.7","38","38"
"616","1000","2","2.7","27","27"
"614","1000","2","2.7","36","36"
"615","1000","2","2.7","34","34"
"618","1000","2","2.7","24","24"
"617","1000","2","2.7","33","33"
"622","1000","2","2.7","27","27"
"620","1000","2","2.7","31","31"
"623","1000","2","2.7","28","28"
"621","1000","2","2.7","34","34"
"619","1000","2","2.7","44","44"
"624","1000","2","2.7","31","31"
"626","1000","2","2.7","32","32"
"625","1000","2","2.7","39","39"
"629","1000","2","2.7","28","28"
"630","1000","2","2.7","31","31"
"627","1000","2","2.7","34","34"
"632","1000","2","2.7","29","29"
"628","1000","2","2.7","31","31"
"631","1000","2","2.7","34","34"
"633","1000","2","2.7","26","26"
"634","1000","2","2.7","31","31"
"638","1000","2","2.7","24","24"
"637","1000","2","2.7","26","26"
"636","1000","2","2.7","30","30"
"635","1000","2","2.7","37","37"
"639","1000","2","2.7","29","29"
"641","1000","2","2.7","28","28"
"640","1000","2","2.7","38","38"
"642","1000","2","2.7","39","39"
"646","1000","2","2.7","24","24"
"644","1000","2","2.7","30","30"
"643","1000","2","2.7","33","33"
"645","1000","2","2.7","34","34"
"647","1000","2","2.7","31","31"
"648","1000","2","2.7","36","36"
"649","1000","2","2.7","27","27"
"650","1000","2","2.7","21","21"
"651","1000","2","2.7","26","26"
"653","1000","2","2.7","29","29"
"652","1000","2","2.7","32","32"
"654","1000","2","2.7","29","29"
"655","1000","2","2.7","26","26"
"657","1000","2","2.7","24","24"
"656","1000","2","2.7","30","30"
"658","1000","2","2.7","27","27"
"659","1000","2","2.7","37","37"
"662","1000","2","2.7","29","29"
"661","1000","2","2.7","37","37"
"666","1000","2","2.7","29","29"
"660","1000","2","2.7","43","43"
"664","1000","2","2.7","35","35"
"668","1000","2","2.7","24","24"
"665","1000","2","2.7","44","44"
"667","1000","2","2.7","31","31"
"669","1000","2","2.7","26","26"
"663","1000","2","2.7","58","58"
"672","1000","2","2.7","23","23"
"671","1000","2","2.7","30","30"
"670","1000","2","2.7","32","32"
"674","1000","2","2.7","26","26"
"673","1000","2","2.7","31","31"
"675","1000","2","2.7","29","29"
"677","1000","2","2.7","24","24"
"676","1000","2","2.7","29","29"
"679","1000","2","2.7","23","23"
"680","1000","2","2.7","23","23"
"678","1000","2","2.7","36","36"
"683","1000","2","2.7","29","29"
"685","1000","2","2.7","27","27"
"682","1000","2","2.7","39","39"
"681","1000","2","2.7","48","48"
"684","1000","2","2.7","36","36"
"686","1000","2","2.7","39","39"
"687","1000","2","2.7","38","38"
"688","1000","2","2.7","33","33"
"691","1000","2","2.7","21","21"
"690","1000","2","2.7","28","28"
"689","1000","2","2.7","30","30"
"696","1000","2","2.7","23","23"
"693","1000","2","2.7","33","33"
"692","1000","2","2.7","37","37"
"694","1000","2","2.7","32","32"
"695","1000","2","2.7","35","35"
"699","1000","2","2.7","25","25"
"700","1000","2","2.7","24","24"
"698","1000","2","2.7","37","37"
"697","1000","2","2.7","42","42"
"702","1000","2","2.8","26","26"
"703","1000","2","2.8","28","28"
"701","1000","2","2.8","27","27"
"704","1000","2","2.8","29","29"
"705","1000","2","2.8","32","32"
"706","1000","2","2.8","28","28"
"708","1000","2","2.8","33","33"
"709","1000","2","2.8","30","30"
"707","1000","2","2.8","37","37"
"711","1000","2","2.8","28","28"
"712","1000","2","2.8","28","28"
"710","1000","2","2.8","35","35"
"713","1000","2","2.8","26","26"
"714","1000","2","2.8","27","27"
"715","1000","2","2.8","24","24"
"719","1000","2","2.8","25","25"
"716","1000","2","2.8","31","31"
"717","1000","2","2.8","30","30"
"720","1000","2","2.8","27","27"
"718","1000","2","2.8","31","31"
"721","1000","2","2.8","26","26"
"722","1000","2","2.8","27","27"
"723","1000","2","2.8","27","27"
"728","1000","2","2.8","23","23"
"726","1000","2","2.8","31","31"
"729","1000","2","2.8","27","27"
"724","1000","2","2.8","33","33"
"727","1000","2","2.8","31","31"
"725","1000","2","2.8","40","40"
"730","1000","2","2.8","30","30"
"736","1000","2","2.8","23","23"
"731","1000","2","2.8","38","38"
"732","1000","2","2.8","31","31"
"734","1000","2","2.8","30","30"
"738","1000","2","2.8","23","23"
