"BehaviorSpace results (NetLogo 6.2.0)"
"business-investor-model-senseRange.nlogo"
"experiment"
"06/19/2021 09:16:33:852 -0500"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-9","9","-9","9"
"[run number]","sensing-radius","[step]","mean [wealth] of turtles","standard-deviation [wealth] of turtles","ticks"
"5","0","13","43279.49680000001","57144.08038257519","13"
"6","0","19","65923.88","77644.80603337166","19"
"1","0","5","15874.945599999995","13138.625001474686","5"
"2","0","19","59847.44320000001","61071.349728110355","19"
"8","0","13","37604.6112","35574.03074605832","13"
"4","0","18","66981.06880000001","79370.61746967635","18"
"7","0","19","52826.827600000004","52037.89313099833","19"
"3","0","17","45515.356400000004","49481.79315055622","17"
"5","0","14","48942.92","61449.834843981895","14"
"6","0","20","72716.3084","83257.88270609464","20"
"1","0","6","20131.111599999997","15512.307043505189","6"
"3","0","18","41479.1416","47353.6606745184","18"
"7","0","20","53897.986800000006","54434.37893699814","20"
"4","0","19","71408.4676","84586.47806825492","19"
"8","0","14","41642.068400000004","38155.03532429247","14"
"5","0","15","54606.3432","66019.22401629479","15"
"6","0","21","78327.5824","90038.63000170687","21"
"1","0","7","23993.163600000003","18570.9822595797","7"
"3","0","19","45693.544","51323.44834715505","19"
"4","0","20","70315.9816","91213.47738343765","20"
"8","0","15","46093.628800000006","40400.342601561184","15"
"7","0","21","58591.044799999996","55933.20831552718","21"
"5","0","16","60269.766400000015","70801.22269320923","16"
"6","0","22","84728.17","96367.5665433707","22"
"3","0","20","44336.022399999994","55307.6037133303","20"
"1","0","8","27265.702800000003","22085.359120115736","8"
"8","0","16","46993.7848","44387.164496123216","16"
"5","0","17","65933.1896","75755.57925177345","17"
"7","0","22","63284.10279999999","57649.38974778815","22"
"4","0","21","75621.15079999999","95842.32583051478","21"
"6","0","23","82996.08720000001","102228.91147193758","23"
"1","0","9","30387.00120000001","25513.811842375413","9"
"3","0","21","49579.20959999999","58508.000709675856","21"
"7","0","23","59955.35040000001","59338.177166167276","23"
"5","0","18","70348.97519999999","81735.9231365809","18"
"8","0","17","48381.46399999999","47327.86161528975","17"
"4","0","22","80208.31680000002","101031.90246399409","22"
"6","0","24","80250.76399999998","110299.8913126619","24"
"1","0","10","28796.883600000005","27114.58721049411","10"
"3","0","22","54822.39680000002","62071.03591329345","22"
"8","0","18","52856.36520000001","49500.98609383623","18"
"4","0","23","85749.48280000001","105619.48088279917","23"
"5","0","19","76012.39839999999","86926.44720954275","19"
"7","0","24","64648.40840000001","61023.069345265634","24"
"6","0","25","87027.9628","115717.30902373487","25"
"3","0","23","59716.103200000005","66243.77754693454","23"
"1","0","11","32013.927999999993","29858.61548807689","11"
"7","0","25","69341.4664","62897.669899953435","25"
"5","0","20","81675.82160000002","92214.27642039173","20"
"8","0","19","47022.3416","38527.100562898224","19"
"4","0","24","80085.206","106669.89713325766","24"
"6","0","26","74182.6016","93210.71680587555","26"
"3","0","24","63926.493600000016","71151.96348382525","24"
"1","0","12","36270.094","32062.13898105885","12"
"4","0","25","78497.41560000001","112364.10899162998","25"
"8","0","20","51497.24279999999","39629.59608092833","20"
"7","0","26","70322.74640000002","66462.69062795339","26"
"6","0","27","80005.29119999999","97301.92035821945","27"
"5","0","21","87339.2448","97583.59382999805","21"
"3","0","25","64536.4528","76755.27855338284","25"
"4","0","26","62535.923200000005","96488.97320509108","26"
"1","0","13","35686.1004","36181.21771188293","13"
"7","0","27","75015.80440000001","68135.04698989257","27"
"8","0","21","54441.09000000001","42304.24465672998","21"
"5","0","22","90251.04559999998","104601.84002402253","22"
"3","0","26","67677.40999999997","81923.53901176697","26"
"6","0","28","80931.18119999999","104592.69141180694","28"
"4","0","27","66085.4072","100006.02845462714","27"
"7","0","28","69206.2692","64402.20854686138","28"
"1","0","14","36795.4332","39853.642827816126","14"
"5","0","23","93226.89720000002","111814.12113277918","23"
"3","0","27","72920.5972","85999.31883400353","27"
"8","0","22","52405.36640000001","39869.23780655978","22"
"6","0","29","87865.948","108250.4489395525","29"
"4","0","28","64432.508799999996","103273.70790602693","28"
"7","0","29","73899.3272","66062.47330840776","29"
"1","0","15","40943.67280000001","42064.81975349656","15"
"5","0","24","96957.51879999999","118567.0004564317","24"
